run_accession	sample_accession	sample_title	sample_alias	scientific_name	cultivar	variety	ecotype	strain	country	instrument_platform	library_layout	base_count
SRR11047467	SAMN13870997	Plant sample from Oryza sativa	indica rice	Oryza sativa			Early-season rice		China:Southern China	ILLUMINA	PAIRED	13296656700
SRR11047470	SAMN13870997	Plant sample from Oryza sativa	indica rice	Oryza sativa			Early-season rice		China:Southern China	ILLUMINA	PAIRED	9553945500
SRR11047471	SAMN13870997	Plant sample from Oryza sativa	indica rice	Oryza sativa			Early-season rice		China:Southern China	ILLUMINA	PAIRED	13198026000
SRR11047478	SAMN13870997	Plant sample from Oryza sativa	indica rice	Oryza sativa			Early-season rice		China:Southern China	ILLUMINA	PAIRED	13663590000
SRR11047483	SAMN13870997	Plant sample from Oryza sativa	indica rice	Oryza sativa			Early-season rice		China:Southern China	ILLUMINA	PAIRED	15868857000
SRR11047493	SAMN13870997	Plant sample from Oryza sativa	indica rice	Oryza sativa			Early-season rice		China:Southern China	ILLUMINA	PAIRED	11530374750
SRR11131251	SAMN14152887	US_Niquen	US_3421	Oryza sativa	US_Niquen				Chile:Bio-Bio	ILLUMINA	PAIRED	18647354514
SRR11131252	SAMN14152886	US_Manzano	US_3410	Oryza sativa	US_Manzano				Zaire	ILLUMINA	PAIRED	19256126416
SRR11131253	SAMN14152885	US_LAC23	US_3397	Oryza sativa	US_LAC23				Liberia	ILLUMINA	PAIRED	18254132092
SRR11131257	SAMN14152881	US_TTEP	US_3458	Oryza sativa	US_TTEP				Viet Nam	ILLUMINA	PAIRED	17050820038
SRR11131260	SAMN14152878	US_BritishHondurasCreole	US_0353	Oryza sativa	US_BritishHondurasCreole				Belize	ILLUMINA	PAIRED	14996362056
SRR11131269	SAMN14152870	US_TAINAN_IKU_487	US_0017	Oryza sativa	US_TAINAN_IKU_487				Taiwan	ILLUMINA	PAIRED	8186957216
SRR11131271	SAMN14152868	US_Honduras	US_0074	Oryza sativa	US_Honduras				Honduras	ILLUMINA	PAIRED	8252383532
SRR11131282	SAMN14152831	US_Palmyra	US_0023	Oryza sativa	US_Palmyra				USA:Missouri	ILLUMINA	PAIRED	18485426400
SRR11131283	SAMN14152830	US_CI9695	US_0370	Oryza sativa	US_CI9695				USA:Arkansas	ILLUMINA	PAIRED	19162198980
SRR11131285	SAMN14152828	US_Nortai	US_3423	Oryza sativa	US_Nortai				USA:Arkansas	ILLUMINA	PAIRED	18214982322
SRR11131295	SAMN14152819	US_Skybonnet	US_0064	Oryza sativa	US_Skybonnet				USA:Texas	ILLUMINA	PAIRED	16941070500
SRR11131296	SAMN14152818	US_Rexmont	US_0061	Oryza sativa	US_Rexmont				USA:Texas	ILLUMINA	PAIRED	18494175900
SRR11131298	SAMN14152817	US_Magnolia	US_3407	Oryza sativa	US_Magnolia				USA:Louisiana	ILLUMINA	PAIRED	16970958252
SRR11131299	SAMN14152816	US_Lafitte	US_0048	Oryza sativa	US_Lafitte				USA:Louisiana	ILLUMINA	PAIRED	16592858100
SRR11131300	SAMN14152815	US_Jefferson	US_3381	Oryza sativa	US_Jefferson				USA:Texas	ILLUMINA	PAIRED	17999704642
SRR11131306	SAMN14152809	US_Fortuna_	US_0076	Oryza sativa	US_Fortuna_				USA:Louisiana	ILLUMINA	PAIRED	12052291537
SRR11131312	SAMN14152804	US_T007	US_3450	Oryza sativa	US_T007				USA:Texas	ILLUMINA	PAIRED	15209725056
SRR11131317	SAMN14152799	US_Belle_Patna	US_0345	Oryza sativa	US_Belle_Patna				USA:Texas	ILLUMINA	PAIRED	15355300532
SRR11131319	SAMN14152744	US_M-204	US_0018	Oryza sativa	US_M-204				USA:California	ILLUMINA	PAIRED	15160340100
SRR11131324	SAMN14152793	US_Antonio	US_0032	Oryza sativa	US_Antonio				USA:Texas	ILLUMINA	PAIRED	14725846800
SRR11131340	SAMN14152778	US_BOND	US_0035	Oryza sativa	US_BOND				USA:Arkansas	ILLUMINA	PAIRED	13356756300
SRR11131346	SAMN14152773	US_HILL_LONG_GRAIN	US_0045	Oryza sativa	US_HILL_LONG_GRAIN				USA:Texas	ILLUMINA	PAIRED	8738642455
SRR11131351	SAMN14152768	US_Lady_Wright_Selection	US_0084	Oryza sativa	US_Lady_Wright_Selection				USA:Louisiana	ILLUMINA	PAIRED	8122613968
SRR11131358	SAMN14152762	US_Adair	US_0011	Oryza sativa	US_Adair				USA:Arkansas	ILLUMINA	PAIRED	9222276000
SRR11131361	SAMN14152759	US_Terso	US_3456	Oryza sativa	US_Terso				USA:California	ILLUMINA	PAIRED	21734485188
SRR11131364	SAMN14152757	US_Earlirose	US_0705	Oryza sativa	US_Earlirose				USA:California	ILLUMINA	PAIRED	21381971158
SRR11131368	SAMN14152902	US_TeQing	US_3454	Oryza sativa	US_TeQing				China:Zhejiang	ILLUMINA	PAIRED	26640253822
SRR11131370	SAMN14152900	US_Rondo	US_0077	Oryza sativa	US_Rondo				China	ILLUMINA	PAIRED	23852749500
SRR11131374	SAMN14152897	US_Taichung_Native_1	US_3452	Oryza sativa	US_Taichung_Native_1				Taiwan	ILLUMINA	PAIRED	21962137922
SRR11131382	SAMN14152860	US_Northrose	US_3424	Oryza sativa	US_Northrose				USA:Arkansas	ILLUMINA	PAIRED	25381323636
SRR11131400	SAMN14152844	US_Jackson	US_0046	Oryza sativa	US_Jackson				USA:Mississippi	ILLUMINA	PAIRED	19520896800
SRR11131402	SAMN14152842	US_CI9701	US_0371	Oryza sativa	US_CI9701				USA:Arkansas	ILLUMINA	PAIRED	20654846664
SRR11131403	SAMN14152841	US_CI9515	US_0366	Oryza sativa	US_CI9515				USA:Texas	ILLUMINA	PAIRED	20593132058
SRR11131405	SAMN14152839	US_Saturn	US_3446	Oryza sativa	US_Saturn				USA:Louisiana	ILLUMINA	PAIRED	18637355596
SRR11446343	SAMN14484504	Plant sample from Oryza sativa	Cheongcheong	Oryza sativa	Cheongcheong				South Korea: Suwon	ILLUMINA	PAIRED	9991040272
SRR11447168	SAMN14484671	Plant sample from Oryza sativa	Hanareum	Oryza sativa	Hanareum				South Korea: Suwon	ILLUMINA	PAIRED	8701463207
SRR11447183	SAMN14484803	Plant sample from Oryza sativa	Takanari	Oryza sativa	Takanari				South Korea: Suwon	ILLUMINA	PAIRED	9372371998
SRR11593232	SAMN14548294	Plant sample from Oryza sativa	RIL-92-GZ	Oryza sativa	RIL-92-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5191722000
SRR11593234	SAMN14548292	Plant sample from Oryza sativa	RIL-90-GZ	Oryza sativa	RIL-90-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5036376900
