run_accession	experiment_accession	sample_accession	study_accession	secondary_study_accession	instrument_platform	instrument_model	library_layout	library_strategy	library_source	read_count	base_count	center_name	first_public	country	sample_title	sample_alias	scientific_name	tax_id	fastq_ftp	fastq_bytes
ERR7068382	ERX6637328	SAMEA10005131	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	528824	79323600	Shanghai Normal University	2024-07-18		N7-4-14D	N7-4-14D	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/002/ERR7068382/ERR7068382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/002/ERR7068382/ERR7068382_2.fastq.gz	23981208;26443555
ERR7068385	ERX6637331	SAMEA10005134	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	529868	79480200	Shanghai Normal University	2024-07-18		N7-4-15B	N7-4-15B	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/005/ERR7068385/ERR7068385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/005/ERR7068385/ERR7068385_2.fastq.gz	23961822;26227778
ERR7068386	ERX6637332	SAMEA10005135	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	689982	103497300	Shanghai Normal University	2024-07-18		N7-4-15C	N7-4-15C	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/006/ERR7068386/ERR7068386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/006/ERR7068386/ERR7068386_2.fastq.gz	30736581;33141270
ERR7068393	ERX6637339	SAMEA10005142	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	630764	94614600	Shanghai Normal University	2024-07-18		N7-4-17D	N7-4-17D	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/003/ERR7068393/ERR7068393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/003/ERR7068393/ERR7068393_2.fastq.gz	27543769;29188664
ERR7068398	ERX6637344	SAMEA10005147	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	670526	100578900	Shanghai Normal University	2024-07-18		N7-4-18D	N7-4-18D	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/008/ERR7068398/ERR7068398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/008/ERR7068398/ERR7068398_2.fastq.gz	28919138;30228063
ERR7068404	ERX6637350	SAMEA10005153	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	684684	102702600	Shanghai Normal University	2024-07-18		N7-4-1B	N7-4-1B	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/004/ERR7068404/ERR7068404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/004/ERR7068404/ERR7068404_2.fastq.gz	31226182;34198932
ERR7068413	ERX6637359	SAMEA10005162	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	558556	83783400	Shanghai Normal University	2024-07-18		N7-4-21C	N7-4-21C	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/003/ERR7068413/ERR7068413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/003/ERR7068413/ERR7068413_2.fastq.gz	25141910;27438531
ERR7068423	ERX6637369	SAMEA10005172	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	417220	62583000	Shanghai Normal University	2024-07-18		N7-4-23E	N7-4-23E	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/003/ERR7068423/ERR7068423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/003/ERR7068423/ERR7068423_2.fastq.gz	19054990;20655638
ERR7068427	ERX6637373	SAMEA10005176	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	1667138	250070700	Shanghai Normal University	2024-07-18		N7-4-25A	N7-4-25A	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/007/ERR7068427/ERR7068427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/007/ERR7068427/ERR7068427_2.fastq.gz	74187260;77773028
ERR7068434	ERX6637380	SAMEA10005183	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	874746	131211900	Shanghai Normal University	2024-07-18		N7-4-26D	N7-4-26D	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/004/ERR7068434/ERR7068434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/004/ERR7068434/ERR7068434_2.fastq.gz	38325104;39321477
