sample_id	variety_name	subspecies	run_accession	bioproject	biosample	platform	paired_or_single	estimated_depth	read_length	fastq_ftp	fastq_bytes	source_db	panel_role
SRR22201097	Jinkeyou651	indica	SRR22201097	PRJNA894819	SAMN31475493	ILLUMINA	PAIRED	24.758	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/097/SRR22201097/SRR22201097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/097/SRR22201097/SRR22201097_2.fastq.gz	2469009981;2968143336	NCBI_SRA	pilot
SRR19503114	V074_Kuiku131	japonica	SRR19503114	PRJNA844290	SAMN28812114	ILLUMINA	PAIRED	22.992	200.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/014/SRR19503114/SRR19503114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/014/SRR19503114/SRR19503114_2.fastq.gz	3684352436;3910024012	NCBI_SRA	pilot
SRR15040831	19W35	indica	SRR15040831	PRJNA743713	SAMN20058553	ILLUMINA	PAIRED	22.653	299.7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/031/SRR15040831/SRR15040831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/031/SRR15040831/SRR15040831_2.fastq.gz	1526302898;1527244391	NCBI_SRA	pilot
DRR179816	BOUZU 1	japonica	DRR179816	PRJDB8365	SAMD00164589	ILLUMINA	PAIRED	22.213	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR179/DRR179816/DRR179816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR179/DRR179816/DRR179816_2.fastq.gz	2358118659;2674247963	DDBJ	pilot
SRR15040811	19W70	indica	SRR15040811	PRJNA743713	SAMN20058571	ILLUMINA	PAIRED	21.737	299.7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/011/SRR15040811/SRR15040811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/011/SRR15040811/SRR15040811_2.fastq.gz	1486244479;1485749502	NCBI_SRA	pilot
SRR17344245	Santhi 990	aus	SRR17344245	PRJNA792623	SAMN24449258	ILLUMINA	PAIRED	21.61	180.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/045/SRR17344245/SRR17344245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/045/SRR17344245/SRR17344245_2.fastq.gz	3719237051;3804442873	NCBI_SRA	pilot
SRR17344239	Spin Mere	aus	SRR17344239	PRJNA792623	SAMN24449308	ILLUMINA	PAIRED	21.552	180.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/039/SRR17344239/SRR17344239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/039/SRR17344239/SRR17344239_2.fastq.gz	3698558133;3827789881	NCBI_SRA	pilot
SRR32126008	P 32::GSOR 311085-G1	admixed	SRR32126008	PRJNA1214498	SAMN46374742	ILLUMINA	PAIRED	21.538	202.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR321/008/SRR32126008/SRR32126008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR321/008/SRR32126008/SRR32126008_2.fastq.gz	3694006007;3646938018	NCBI_SRA	pilot
SRR17344256	C.B. II	aus	SRR17344256	PRJNA792623	SAMN24449297	ILLUMINA	PAIRED	21.521	180.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/056/SRR17344256/SRR17344256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/056/SRR17344256/SRR17344256_2.fastq.gz	3765531367;3887746951	NCBI_SRA	pilot
SRR33723419	Yamuna	indica	SRR33723419	PRJNA1268320	SAMN48749499	ILLUMINA	PAIRED	21.279	302.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/019/SRR33723419/SRR33723419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/019/SRR33723419/SRR33723419_2.fastq.gz	1645667345;1733267868	NCBI_SRA	pilot
SRR19502941	V057_Kendao12	japonica	SRR19502941	PRJNA844290	SAMN28812097	ILLUMINA	PAIRED	21.163	200.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/041/SRR19502941/SRR19502941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/041/SRR19502941/SRR19502941_2.fastq.gz	3381847234;3604914603	NCBI_SRA	pilot
SRR15040869	Jiangxiang1	indica	SRR15040869	PRJNA743713	SAMN20058628	ILLUMINA	PAIRED	20.818	299.7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/069/SRR15040869/SRR15040869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/069/SRR15040869/SRR15040869_2.fastq.gz	1422443940;1421886803	NCBI_SRA	pilot
SRR25567266	Gaekjujodo	unknown	SRR25567266	PRJNA1003283	SAMN36886480	ILLUMINA	PAIRED	20.034	302.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR255/066/SRR25567266/SRR25567266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR255/066/SRR25567266/SRR25567266_2.fastq.gz	1396692204;1402766789	NCBI_SRA	pilot
SRR12523534	Gangxiang1A	unknown	SRR12523534	PRJNA656900	SAMN15806116	ILLUMINA	PAIRED	20.031	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/034/SRR12523534/SRR12523534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/034/SRR12523534/SRR12523534_2.fastq.gz	1695927642;1765463626	NCBI_SRA	pilot
DRR771401	Long Japonica 13	japonica	DRR771401	PRJDB36518	SAMD01666525	ILLUMINA	PAIRED	20.024	299.6	ftp.sra.ebi.ac.uk/vol1/fastq/DRR771/DRR771401/DRR771401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR771/DRR771401/DRR771401_2.fastq.gz	1452926707;1548248398	DDBJ	pilot
SRR22440195	Ganggye 12	unknown	SRR22440195	PRJNA896894	SAMN31571477	ILLUMINA	PAIRED	20.024	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR224/095/SRR22440195/SRR22440195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR224/095/SRR22440195/SRR22440195_2.fastq.gz	3227019655;3153408450	NCBI_SRA	pilot
SRR12523904	LT4	unknown	SRR12523904	PRJNA656900	SAMN15806422	ILLUMINA	PAIRED	20.019	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/004/SRR12523904/SRR12523904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/004/SRR12523904/SRR12523904_2.fastq.gz	1736248153;1813260725	NCBI_SRA	pilot
SRR22223604	G41761	unknown	SRR22223604	PRJNA896343	SAMN31564316	ILLUMINA	PAIRED	20.0	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/004/SRR22223604/SRR22223604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/004/SRR22223604/SRR22223604_2.fastq.gz	1649309793;1676014573	NCBI_SRA	pilot
SRR12524065	Xiangzaoxian13hao	unknown	SRR12524065	PRJNA656900	SAMN15806862	ILLUMINA	PAIRED	20.0	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/065/SRR12524065/SRR12524065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/065/SRR12524065/SRR12524065_2.fastq.gz	1621254626;1704691407	NCBI_SRA	pilot
