topic	pmid	year	journal	first_author	n_authors	title	doi
rice_pangenome	40585569	2025	Breed Sci	Yoshikawa T	2	Usage of wild Oryza germplasms for breeding in pan-genomics era	10.1270/jsbbs.24050
rice_pangenome	39557856	2024	Nat Commun	Long W	17	Genome evolution and diversity of wild and cultivated rice species	10.1038/s41467-024-54427-3
rice_pangenome	38650829	2024	Natl Sci Rev	Wei H	36	Uncovering key salt-tolerant regulators through a combined eQTL and GWAS analysis using the super pan-genome in rice	10.1093/nsr/nwae043
rice_pangenome	38650702	2024	Front Plant Sci	Shivute FN	8	Genome-wide and pan-genomic analysis reveals rich variants of NBS-LRR genes in a newly developed wild rice line from Oryza alta Swallen	10.3389/fpls.2024.1345708
rice_pangenome	37537691	2023	Genome Biol	Wu D	10	A syntelog-based pan-genome provides insights into rice domestication and de-domestication	10.1186/s13059-023-03017-5
rice_pangenome	34782773	2021	Nat Plants	Lu Y	27	A donor-DNA-free CRISPR/Cas-based approach to gene knock-up in rice	10.1038/s41477-021-01019-4
rice_pangenome	35722513	2022	Physiol Mol Biol Plants	Parakkunnel R	11	Evolution and co-evolution: insights into the divergence of plant heat shock factor genes	10.1007/s12298-022-01183-7
rice_pangenome	36814455	2023	NAR Genom Bioinform	Christine TD	9	FrangiPANe, a tool for creating a panreference using left behind reads	10.1093/nargab/lqad013
rice_pangenome	38003271	2023	Int J Mol Sci	Singh G	15	Genetic Enhancement for Biotic Stress Resistance in Basmati Rice through Marker-Assisted Backcross Breeding	10.3390/ijms242216081
rice_pangenome	30446793	2019	Theor Appl Genet	Monat C	4	Prospects of pan-genomics in barley	10.1007/s00122-018-3234-z
rice_pangenome	34067383	2021	Microorganisms	Lee HH	4	Pan-Genome Analysis Reveals Host-Specific Functional Divergences in Burkholderia gladioli	10.3390/microorganisms9061123
rice_pangenome	37016094	2023	Plant Cell Rep	Li W	11	Identification and validation of new MADS-box homologous genes in 3010 rice pan-genome	10.1007/s00299-023-03006-9
rice_pangenome	34904403	2022	Plant Genome	Zanini SF	9	Pangenomics in crop improvement-from coding structural variations to finding regulatory variants with pangenome graphs	10.1002/tpg2.20177
rice_pangenome	33572680	2021	Molecules	Lin YT	6	Fungicidal Activity of Volatile Organic Compounds Emitted by Burkholderia gladioli Strain BBB-01	10.3390/molecules26030745
rice_pangenome	38607544	2024	Rice (N Y)	Wang J	17	Pangenome-Wide Association Study and Transcriptome Analysis Reveal a Novel QTL and Candidate Genes Controlling both Panicle and Leaf Blast Resistance in Rice	10.1186/s12284-024-00707-x
rice_pangenome	36944612	2023	Nat Commun	Zhou Y	25	Pan-genome inversion index reveals evolutionary insights into the subpopulation structure of Asian rice	10.1038/s41467-023-37004-y
rice_pangenome	28447607	2017	Sci Rep	Shivaraj SM	6	Genome-wide identification, characterization, and expression profile of aquaporin gene family in flax (Linum usitatissimum)	10.1038/srep46137
rice_pangenome	29335547	2018	Nat Genet	Zhao Q	24	Pan-genome analysis highlights the extent of genomic variation in cultivated and wild rice	10.1038/s41588-018-0041-z
rice_pangenome	40819063	2025	Nat Commun	Qian Y	15	Pangenome analysis of transposable element insertion polymorphisms reveals features underlying cold tolerance in rice	10.1038/s41467-025-62887-4
rice_structural_variation	37822083	2024	Plant Biotechnol J	Lv P	14	Genome editing in rice using CRISPR/Cas12i3	10.1111/pbi.14192
rice_structural_variation	34051138	2021	Cell	Qin P	29	Pan-genome analysis of 33 genetically diverse rice accessions reveals hidden genomic variations	10.1016/j.cell.2021.04.046
rice_structural_variation	40240605	2025	Nature	Guo D	24	A pangenome reference of wild and cultivated rice	10.1038/s41586-025-08883-6
rice_structural_variation	33539781	2021	Cell	Yu H	29	A route to de novo domestication of wild allotetraploid rice	10.1016/j.cell.2021.01.013
rice_structural_variation	35821092	2022	Cell Res	Shang L	44	A super pan-genomic landscape of rice	10.1038/s41422-022-00685-z
rice_structural_variation	41120576	2025	Nat Genet	Xie L	15	Genetic diversity and evolution of rice centromeres	10.1038/s41588-025-02365-1
rice_structural_variation	27940610	2017	Nucleic Acids Res	Sun C	12	RPAN: rice pan-genome browser for ∼3000 rice genomes	10.1093/nar/gkw958
rice_structural_variation	32681796	2020	Mol Biol Evol	Kou Y	8	Evolutionary Genomics of Structural Variation in Asian Rice (Oryza sativa) Domestication	10.1093/molbev/msaa185
rice_structural_variation	41126876	2025	Front Genome Ed	Park H	5	CRISPR/Cas9- and Cas3-mediated modification of copy number variation in rice	10.3389/fgeed.2025.1652950
rice_structural_variation	33964655	2021	Food Chem	Han Z	6	Structural variations of rice starch affected by constant power microwave treatment	10.1016/j.foodchem.2021.129887
rice_structural_variation	38286529	2024	Carbohydr Polym	Zhang X	7	Subtle structural variations of resistant starch from whole cooked rice significantly impact metabolic outputs of gut microbiota	10.1016/j.carbpol.2024.121779
rice_structural_variation	35401589	2022	Front Plant Sci	Dash M	6	Exploring Genomic Variations in Nematode-Resistant Mutant Rice Lines	10.3389/fpls.2022.823372
rice_structural_variation	38790274	2024	Genes (Basel)	Zhou X	7	The Landscape of Presence/Absence Variations during the Improvement of Rice	10.3390/genes15050645
rice_structural_variation	40755030	2025	New Phytol	Fang Z	12	Experimental insights into genome reconstruction driven by horizontal transfer of supernumerary chromosomes in Magnaporthe oryzae	10.1111/nph.70438
rice_structural_variation	34782773	2021	Nat Plants	Lu Y	27	A donor-DNA-free CRISPR/Cas-based approach to gene knock-up in rice	10.1038/s41477-021-01019-4
rice_structural_variation	41334799	2025	Plant Biotechnol J	Dan Z	3	Structural Variations Contribute to Subspeciation and Yield Heterosis in Rice	10.1111/pbi.70484
rice_structural_variation	32293284	2020	BMC Plant Biol	Yang W	7	Wide crossing diversify mitogenomes of rice	10.1186/s12870-020-02380-w
rice_structural_variation	32886328	2020	Mol Biol Rep	Vasumathy SK	5	Genome- wide structural and functional variant discovery of rice landraces using genotyping by sequencing	10.1007/s11033-020-05794-9
rice_structural_variation	39184317	2024	Food Chem X	Du M	9	Ozone induced structural variation in OSA waxy rice starch: Effects on the thermal behavior of starch and its stabilized pickering emulsion	10.1016/j.fochx.2024.101701
rice_structural_variation	40453531	2025	Mol Breed	Du C	18	Structural variation in the GH1 promoter regulates the hull color of rice	10.1007/s11032-025-01569-x
rice_structural_variation	39127715	2024	Plant Methods	Vourlaki IT	4	Evaluation of deep learning for predicting rice traits using structural and single-nucleotide genomic variants	10.1186/s13007-024-01250-y
rice_structural_variation	36781277	2023	Carbohydr Polym	Li J	13	Multi-scale structure characterization of ozone oxidized waxy rice starch	10.1016/j.carbpol.2023.120624
rice_structural_variation	29718005	2018	Sci Data	Hu Z	12	Novel sequences, structural variations and gene presence variations of Asian cultivated rice	10.1038/sdata.2018.79
rice_structural_variation	40232312	2025	Theor Appl Genet	Cheng S	26	Chromosomal structural variation loci HSS1 and HSS6 lead to hybrid sterility in rice	10.1007/s00122-025-04887-y
rice_structural_variation	37765500	2023	Plants (Basel)	Sun W	5	A Structure Variation in qPH8.2 Detrimentally Affects Plant Architecture and Yield in Rice	10.3390/plants12183336
low_coverage_genotyping	26432245	2015	Nature	1000 Genomes Project Consortium	11	A global reference for human genetic variation	10.1038/nature15393
low_coverage_genotyping	34250668	2021	Mol Ecol	Lou RN	4	A beginner's guide to low-coverage whole genome sequencing for population genomics	10.1111/mec.16077
low_coverage_genotyping	39389018	2024	Cell Genom	Liu S	19	Utilizing non-invasive prenatal test sequencing data for human genetic investigation	10.1016/j.xgen.2024.100669
low_coverage_genotyping	33743587	2021	BMC Genomics	Wasik K	7	Comparing low-pass sequencing and genotyping for trait mapping in pharmacogenetics	10.1186/s12864-021-07508-2
low_coverage_genotyping	35251117	2021	Front Genet	Chat V	4	Ultra Low-Coverage Whole-Genome Sequencing as an Alternative to Genotyping Arrays in Genome-Wide Association Studies	10.3389/fgene.2021.790445
low_coverage_genotyping	40632977	2025	JCO Precis Oncol	Zhao D	21	Risk Assessment With Ultra-Low-Pass Whole-Genome Sequencing of Cell-Free DNA for Large B-Cell Lymphoma	10.1200/PO-25-00200
low_coverage_genotyping	33543400	2021	Funct Integr Genomics	Fu J	8	Combining targeted sequencing and ultra-low-pass whole-genome sequencing for accurate somatic copy number alteration detection	10.1007/s10142-021-00767-y
low_coverage_genotyping	37339987	2023	Nat Commun	Sousa da Mota B	15	Imputation of ancient human genomes	10.1038/s41467-023-39202-0
low_coverage_genotyping	36516232	2022	PLoS Comput Biol	Söylev A	5	CONGA: Copy number variation genotyping in ancient genomes and low-coverage sequencing data	10.1371/journal.pcbi.1010788
low_coverage_genotyping	41126791	2025	Plant Genome	Sthapit SR	7	A low-coverage skim-sequencing and imputation pipeline for genomic selection	10.1002/tpg2.70139
low_coverage_genotyping	40695596	2025	Genome Res	Biagini SA	12	Genotype imputation from low-coverage data for medical and population genetic analyses	10.1101/gr.280175.124
low_coverage_genotyping	34826191	2022	Mol Ecol Resour	Wang L	8	Sequence coverage required for accurate genotyping by sequencing in polyploid species	10.1111/1755-0998.13558
low_coverage_genotyping	40579709	2025	Acta Neuropathol Commun	Fischer TT	22	Ultra-low-input cell-free DNA sequencing for tumor detection and characterization in a real-world pediatric brain tumor cohort	10.1186/s40478-025-02024-w
low_coverage_genotyping	29028881	2018	Bioinformatics	Blischak PD	3	SNP genotyping and parameter estimation in polyploids using low-coverage sequencing data	10.1093/bioinformatics/btx587
low_coverage_genotyping	37923981	2023	BMC Bioinformatics	Delomas TA	2	Estimating microhaplotype allele frequencies from low-coverage or pooled sequencing data	10.1186/s12859-023-05554-z
low_coverage_genotyping	28498906	2017	DNA Res	Kobayashi M	13	Heap: a highly sensitive and accurate SNP detection tool for low-coverage high-throughput sequencing data	10.1093/dnares/dsx012
low_coverage_genotyping	36266371	2022	Sci Rep	Adhikari L	18	A high-throughput skim-sequencing approach for genotyping, dosage estimation and identifying translocations	10.1038/s41598-022-19858-2
low_coverage_genotyping	39605582	2024	bioRxiv	Meleshko D	6	Blackbird: structural variant detection using synthetic and low-coverage long-reads	10.1101/2024.11.17.624011
low_coverage_genotyping	34910782	2021	PLoS One	Lamb HJ	5	Genomic prediction using low-coverage portable Nanopore sequencing	10.1371/journal.pone.0261274
low_coverage_genotyping	39880602	2025	Gut	Al Bakir I	25	Low-coverage whole genome sequencing of low-grade dysplasia strongly predicts advanced neoplasia risk in ulcerative colitis	10.1136/gutjnl-2024-333353
low_coverage_genotyping	33770507	2021	Am J Hum Genet	Martin AR	40	Low-coverage sequencing cost-effectively detects known and novel variation in underrepresented populations	10.1016/j.ajhg.2021.03.012
low_coverage_genotyping	27821432	2017	Genetics	Kousathanas A	6	Inferring Heterozygosity from Ancient and Low Coverage Genomes	10.1534/genetics.116.189985
low_coverage_genotyping	40596117	2025	Sci Rep	Virga A	19	Mutational and low-coverage whole genome sequencing identifies actionable DNA repair alterations in prostate cancer plasma DNA	10.1038/s41598-025-05384-4
low_coverage_genotyping	37546814	2023	medRxiv	Sun S	12	Identifying risk genes for embryo aneuploidy using ultra-low coverage whole-genome sequencing	10.1101/2023.07.22.23292618
low_coverage_genotyping	33414550	2021	Nat Genet	Rubinacci S	4	Efficient phasing and imputation of low-coverage sequencing data using large reference panels	10.1038/s41588-020-00756-0
low_coverage_rice	28498906	2017	DNA Res	Kobayashi M	13	Heap: a highly sensitive and accurate SNP detection tool for low-coverage high-throughput sequencing data	10.1093/dnares/dsx012
low_coverage_rice	35504967	2022	Theor Appl Genet	Gong H	2	Genotype calling and haplotype inference from low coverage sequence data in heterozygous plant genome using HetMap	10.1007/s00122-022-04105-z
low_coverage_rice	37432175	2023	Nutrients	Bourassa MW	4	Aligning the Epidemiology of Malnutrition with Food Fortification: Grasp Versus Reach	10.3390/nu15092021
low_coverage_rice	29698758	2018	Int J Biol Macromol	Lee JP	9	Characterization of truncated endo-β-1,4-glucanases from a compost metagenomic library and their saccharification potentials	10.1016/j.ijbiomac.2018.04.102
low_coverage_rice	26358652	2015	Proc Natl Acad Sci U S A	Xie W	27	Breeding signatures of rice improvement revealed by a genomic variation map from a large germplasm collection	10.1073/pnas.1515919112
low_coverage_rice	33964159	2021	Mol Biol Evol	Park M	3	Sample Sequence Analysis Uncovers Recurrent Horizontal Transfers of Transposable Elements among Grasses	10.1093/molbev/msab133
low_coverage_rice	27179918	2016	Mol Plant	Wang H	8	The Power of Inbreeding: NGS-Based GWAS of Rice Reveals Convergent Evolution during Rice Domestication	10.1016/j.molp.2016.04.018
low_coverage_rice	33354434	2020	PeerJ	Cline E	6	Recalibration of mapping quality scores in Illumina short-read alignments improves SNP detection results in low-coverage sequencing data	10.7717/peerj.10501
low_coverage_rice	29879918	2018	BMC Genomics	Taudt A	6	METHimpute: imputation-guided construction of complete methylomes from WGBS data	10.1186/s12864-018-4641-x
low_coverage_rice	19015323	2009	Genome Res	Reinhardt JA	6	De novo assembly using low-coverage short read sequence data from the rice pathogen Pseudomonas syringae pv. oryzae	10.1101/gr.083311.108
low_coverage_rice	27778102	2017	Mol Genet Genomics	Lwin AK	4	Genomic skimming for identification of medium/highly abundant transposable elements in Arundo donax and Arundo plinii	10.1007/s00438-016-1263-3
low_coverage_rice	27612449	2016	BMC Bioinformatics	Huang Z	8	A hybrid computational strategy to address WGS variant analysis in >5000 samples	10.1186/s12859-016-1211-6
low_coverage_rice	15240912	2004	J Genet	Tyagi AK	12	Structural and functional analysis of rice genome	10.1007/BF02715832
low_coverage_rice	15805491	2005	Genome Res	Katari MS	5	Comparing low coverage random shotgun sequence data from Brassica oleracea and Oryza sativa genome sequence for their ability to add to the annotation of Arabidopsis thaliana	10.1101/gr.3239105
low_coverage_rice	26403182	2015	Genome Biol	Yao W	6	Exploring the rice dispensable genome using a metagenome-like assembly strategy	10.1186/s13059-015-0757-3
low_coverage_rice	20498060	2010	Proc Natl Acad Sci U S A	Xie W	9	Parent-independent genotyping for constructing an ultrahigh-density linkage map based on population sequencing	10.1073/pnas.1005931107
low_coverage_rice	22028874	2011	PLoS One	Vitulo N	21	First survey of the wheat chromosome 5A composition through a next generation sequencing approach	10.1371/journal.pone.0026421
low_coverage_rice	32013129	2020	Nutrients	Mkambula P	10	The Unfinished Agenda for Food Fortification in Low- and Middle-Income Countries: Quantifying Progress, Gaps and Potential Opportunities	10.3390/nu12020354
