topic	pmid	year	journal	first_author	title	doi
dna_barcode_crop	37653977	2023	Plants (Basel)	Jin DP	Identification of the Plant Family Caryophyllaceae in Korea Using DNA Barcoding	10.3390/plants12102060
dna_barcode_crop	30703281	2019	Mol Ecol Resour	Gill BA	Plant DNA-barcode library and community phylogeny for a semi-arid East African savanna	10.1111/1755-0998.13001
dna_barcode_crop	28250597	2017	Physiol Mol Biol Plants	Enan MR	DNA barcoding of selected UAE medicinal plant species: a comparative assessment of herbarium and fresh samples	10.1007/s12298-016-0412-9
dna_barcode_crop	31472895	2019	Chin J Nat Med	Liu M	Species identification of poisonous medicinal plant using DNA barcoding	10.1016/S1875-5364(19)30060-3
dna_barcode_crop	22419486	2012	Methods Mol Biol	Cowan RS	Challenges in the DNA barcoding of plant material	10.1007/978-1-61779-609-8_3
cnv_crop_marker	30382311	2019	Theor Appl Genet	Lyra DH	Modeling copy number variation in the genomic prediction of maize hybrids	10.1007/s00122-018-3215-2
cnv_crop_marker	33643334	2020	Front Plant Sci	Liu Q	The Copy Number Variation of OsMTD1 Regulates Rice Plant Architecture	10.3389/fpls.2020.620282
cnv_crop_marker	33127757	2020	Proc Natl Acad Sci U S A	Nilsen KT	Copy number variation of TdDof controls solid-stemmed architecture in wheat	10.1073/pnas.2009418117
cnv_crop_marker	38641318	2024	J Genet Genomics	Zhou D	Copy number variation of NAL23 causes narrow-leaf development in rice	10.1016/j.jgg.2024.04.006
cnv_crop_marker	37957162	2023	Nat Commun	Zhao Z	Copy number variation of the restorer Rf4 underlies human selection of three-line hybrid rice breeding	10.1038/s41467-023-43009-4
cnv_crop_marker	26147619	2015	Nat Genet	Wang Y	Copy number variation at the GL7 locus contributes to grain size diversity in rice	10.1038/ng.3346
cnv_crop_marker	41126876	2025	Front Genome Ed	Park H	CRISPR/Cas9- and Cas3-mediated modification of copy number variation in rice	10.3389/fgeed.2025.1652950
cnv_crop_marker	38951917	2024	Genome Biol	Niu J	Tagging large CNV blocks in wheat boosts digitalization of germplasm resources by ultra-low-coverage sequencing	10.1186/s13059-024-03315-6
cnv_crop_marker	31357926	2019	BMC Genet	Würschum T	Copy number variation of Ppd-B1 is the major determinant of heading time in durum wheat	10.1186/s12863-019-0768-2
cnv_crop_marker	19956538	2009	PLoS Genet	Springer NM	Maize inbreds exhibit high levels of copy number variation (CNV) and presence/absence variation (PAV) in genome content	10.1371/journal.pgen.1000734
cnv_crop_marker	26883046	2016	Theor Appl Genet	Sieber AN	Copy number variation of CBF-A14 at the Fr-A2 locus determines frost tolerance in winter durum wheat	10.1007/s00122-016-2685-3
cnv_crop_marker	40432508	2025	J Integr Plant Biol	Han X	A copy number variation in the ZmMADS1 promoter enhances maize adaptation to high altitudes	10.1111/jipb.13924
cnv_crop_marker	33155760	2021	Plant Genome	Juery C	New insights into homoeologous copy number variations in the hexaploid wheat genome	10.1002/tpg2.20069
cnv_crop_marker	21771342	2011	BMC Genomics	Yu P	Detection of copy number variations in rice using array-based comparative genomic hybridization	10.1186/1471-2164-12-372
cnv_crop_marker	38977688	2024	Nat Commun	Tralamazza SM	Copy number variation introduced by a massive mobile element facilitates global thermal adaptation in a fungal wheat pathogen	10.1038/s41467-024-49913-7
cnv_crop_marker	21036921	2010	Genome Res	Swanson-Wagner RA	Pervasive gene content variation and copy number variation in maize and its undomesticated progenitor	10.1101/gr.109165.110
cnv_crop_marker	26219856	2015	BMC Genet	Würschum T	Multiply to conquer: Copy number variations at Ppd-B1 and Vrn-A1 facilitate global adaptation in wheat	10.1186/s12863-015-0258-0
cnv_crop_marker	32591023	2020	BMC Biol	Zhao F	A genome-wide survey of copy number variations reveals an asymmetric evolution of duplicated genes in rice	10.1186/s12915-020-00798-0
cnv_crop_marker	27859852	2017	Plant J	Würschum T	Copy number variations of CBF genes at the Fr-A2 locus are essential components of winter hardiness in wheat	10.1111/tpj.13424
cnv_crop_marker	21917144	2011	Genome Biol	Saintenac C	Targeted analysis of nucleotide and copy number variation by exon capture in allotetraploid wheat genome	10.1186/gb-2011-12-9-r88
imputation_lowcov	37386250	2023	Nat Genet	Rubinacci S	Imputation of low-coverage sequencing data from 150,119 UK Biobank genomes	10.1038/s41588-023-01438-3
imputation_lowcov	40695596	2025	Genome Res	Biagini SA	Genotype imputation from low-coverage data for medical and population genetic analyses	10.1101/gr.280175.124
imputation_lowcov	35046990	2021	Front Genet	Deng T	Comparison of Genotype Imputation for SNP Array and Low-Coverage Whole-Genome Sequencing Data	10.3389/fgene.2021.704118
imputation_lowcov	41126791	2025	Plant Genome	Sthapit SR	A low-coverage skim-sequencing and imputation pipeline for genomic selection	10.1002/tpg2.70139
imputation_lowcov	33414550	2021	Nat Genet	Rubinacci S	Efficient phasing and imputation of low-coverage sequencing data using large reference panels	10.1038/s41588-020-00756-0
imputation_lowcov	38216889	2024	Genet Sel Evol	Wragg D	A cautionary tale of low-pass sequencing and imputation with respect to haplotype accuracy	10.1186/s12711-024-00875-w
imputation_lowcov	26168789	2015	BMC Genet	VanRaden PM	Fast imputation using medium or low-coverage sequence data	10.1186/s12863-015-0243-7
imputation_lowcov	39883620	2025	PLoS One	Triay C	Fast and accurate imputation of genotypes from noisy low-coverage sequencing data in bi-parental populations	10.1371/journal.pone.0314759
imputation_lowcov	39041837	2024	G3 (Bethesda)	Liu S	Accurate genotype imputation from low-coverage whole-genome sequencing data of rainbow trout	10.1093/g3journal/jkae168
imputation_lowcov	41795469	2026	Am J Hum Genet	Kumar KH	MetaGLIMPSE: Meta-imputation of low-coverage sequencing data for modern and ancient genomes	10.1016/j.ajhg.2026.02.004
imputation_lowcov	33122697	2020	Sci Rep	Hui R	Evaluating genotype imputation pipeline for ultra-low coverage ancient genomes	10.1038/s41598-020-75387-w
imputation_lowcov	40155798	2025	Genet Sel Evol	Gundappa MK	High performance imputation of structural and single nucleotide variants using low-coverage whole genome sequencing	10.1186/s12711-025-00962-6
imputation_lowcov	33167493	2020	Genes (Basel)	Snelling WM	Assessment of Imputation from Low-Pass Sequencing to Predict Merit of Beef Steers	10.3390/genes11111312
imputation_lowcov	27537694	2016	PLoS One	Chan AW	Evaluating Imputation Algorithms for Low-Depth Genotyping-By-Sequencing (GBS) Data	10.1371/journal.pone.0160733
imputation_lowcov	41644996	2026	Sci Rep	Maróti Z	Robust imputation-based method for eye, hair, and skin colour prediction from low-coverage ancient DNA	10.1038/s41598-026-38372-3
