# 疑似编号型品种名，无法自动解析为规范名，待人工核对
# 格式：规范化键<TAB>n_runs<TAB>原始写法
450	1	450
447	1	447
446	1	446
1388	1	1388
1362	1	1362
1350	1	1350
1320	1	1320
1173	1	1173
1168	1	1168
1165	1	1165
1158	1	1158
1147	1	1147
1135	1	1135
953	1	953
949	1	949
942	1	942
933	1	933
919	1	919
908	1	908
904	1	904
903	1	903
896	1	896
888	1	888
883	1	883
1117	1	1117
871	1	871
87	1	87
731	1	731
704	1	704
690	1	690
689	1	689
688	1	688
683	1	683
682	1	682
1286	1	1286
553	1	553
549	1	549
548	1	548
541	1	541
539	1	539
1069	1	1069
536	1	536
527	1	527
525	1	525
1068	1	1068
519	1	519
509	1	509
1310	1	1310
jg818	1	jg818
hg5x	1	hg5x
1392	1	1392
10	1	10
33	1	33
4	1	4
13	1	13
261	1	261
314	1	314
em256	1	em256
em266	1	em266
em066	1	em066
em072	1	em072
em073	1	em073
em274	1	em274
em095	1	em095
em097	1	em097
em100	1	em100
em283	1	em283
em116	1	em116
em227	1	em227
em234	1	em234
em238	1	em238
em240	1	em240
em296	1	em296
em243	1	em243
em247	1	em247
em050	1	em050
em287	1	em287
em166	1	em166
em208	1	em208
em211	1	em211
em213	1	em213
em214	1	em214
em118	1	em118
em122	1	em122
em128	1	em128
em129	1	em129
em130	1	em130
em131	1	em131
em143	1	em143
em146	1	em146
em177	1	em177
em184	1	em184
em190	1	em190
em192	1	em192
em193	1	em193
em194	1	em194
em199	1	em199
em301	1	em301
233	1	233
78130	1	78130
50058	1	50058
2888	1	2888
1130	1	1130
99216	1	99216
667	1	667
659	1	659
653	1	653
643	1	643
1089	1	1089
633	1	633
62	1	62
608	1	608
1281	1	1281
1275	1	1275
1270	1	1270
1254	1	1254
1234	1	1234
1216	1	1216
1214	1	1214
847	1	847
1114	1	1114
831	1	831
787	1	787
773	1	773
442	1	442
441	1	441
425	1	425
1436	1	1436
1400	1	1400
60	1	60
589	1	589
58	1	58
572	1	572
56	1	56
502	1	502
500	1	500
489	1	489
480	1	480
468	1	468
1364	1	1364
1342	1	1342
1325	1	1325
1313	1	1313
1148	1	1148
989	1	989
954	1	954
932	1	932
929	1	929
924	1	924
912	1	912
905	1	905
899	1	899
893	1	893
880	1	880
859	1	859
854	1	854
851	1	851
733	1	733
716	1	716
711	1	711
701	1	701
696	1	696
686	1	686
1008	1	1008
680	1	680
1292	1	1292
1291	1	1291
1035	1	1035
546	1	546
522	1	522
515	1	515
507	1	507
1043	1	1043
1001	1	1001
999	1	999
jf105	1	jf105
hg5	1	hg5
5	1	5
29	1	29
28	1	28
24	1	24
21	1	21
3	1	3
17	1	17
16	1	16
853	1	853
em271	1	em271
em278	1	em278
em069	1	em069
em279	1	em279
em075	1	em075
em077	1	em077
em080	1	em080
em082	1	em082
em280	1	em280
em084	1	em084
em087	1	em087
em299	1	em299
em090	1	em090
em093	1	em093
em096	1	em096
em098	1	em098
em282	1	em282
em300	1	em300
em103	1	em103
em105	1	em105
em114	1	em114
em223	1	em223
em295	1	em295
em242	1	em242
em252	1	em252
em044	1	em044
em047	1	em047
em148	1	em148
em152	1	em152
em153	1	em153
em156	1	em156
em157	1	em157
em288	1	em288
em168	1	em168
em206	1	em206
em221	1	em221
em222	1	em222
em284	1	em284
em139	1	em139
em140	1	em140
em141	1	em141
em176	1	em176
em180	1	em180
em181	1	em181
em182	1	em182
em188	1	em188
em191	1	em191
em291	1	em291
7944	1	7944
7625	1	7625
7055	1	7055
5350	1	5350
5207	1	5207
1144	1	1144
93072	1	93072
4595	1	4595
10340	1	10340
673	1	673
658	1	658
656	1	656
654	1	654
630	1	630
620	1	620
607	1	607
1273	1	1273
1267	1	1267
1262	1	1262
1261	1	1261
1235	1	1235
1225	1	1225
1222	1	1222
1025	1	1025
1215	1	1215
84	1	84
829	1	829
823	1	823
82	1	82
813	1	813
806	1	806
786	1	786
78	1	78
767	1	767
761	1	761
1100	1	1100
1056	1	1056
36	1	36
1453	1	1453
1445	1	1445
1442	1	1442
1435	1	1435
1409	1	1409
606	1	606
603	1	603
598	1	598
595	1	595
1075	1	1075
583	1	583
578	1	578
566	1	566
505	1	505
504	1	504
484	1	484
483	1	483
477	1	477
469	1	469
46	1	46
456	1	456
1047	1	1047
1377	1	1377
1370	1	1370
1367	1	1367
1361	1	1361
1360	1	1360
1353	1	1353
1349	1	1349
1347	1	1347
1339	1	1339
1332	1	1332
1329	1	1329
1327	1	1327
1321	1	1321
1156	1	1156
1143	1	1143
1141	1	1141
1140	1	1140
981	1	981
967	1	967
963	1	963
1125	1	1125
931	1	931
923	1	923
910	1	910
907	1	907
902	1	902
874	1	874
852	1	852
745	1	745
726	1	726
725	1	725
721	1	721
702	1	702
694	1	694
687	1	687
685	1	685
684	1	684
1302	1	1302
1298	1	1298
1288	1	1288
1283	1	1283
523	1	523
510	1	510
51	1	51
1003	1	1003
9	1	9
8	1	8
26	1	26
22	1	22
276	1	276
412	1	412
em257	1	em257
em260	1	em260
em262	1	em262
em267	1	em267
em270	1	em270
em272	1	em272
em074	1	em074
em078	1	em078
em102	1	em102
em106	1	em106
em107	1	em107
em109	1	em109
em112	1	em112
em224	1	em224
em235	1	em235
em237	1	em237
em244	1	em244
em248	1	em248
em249	1	em249
em250	1	em250
em251	1	em251
em147	1	em147
em150	1	em150
em164	1	em164
em170	1	em170
em173	1	em173
em175	1	em175
