canonical_name	alias	relation	evidence	n_runs	norm_key
HJX74	HJX74	canonical	mechanical_normalization	3	hjx74
Hopum	Hopum	canonical	mechanical_normalization	3	hopum
Huangsiguizhan	Huangsiguizhan	canonical	mechanical_normalization	3	huangsiguizhan
Hwacheong	Hwacheong	canonical	mechanical_normalization	3	hwacheong
Hwayeong	Hwayeong	canonical	mechanical_normalization	3	hwayeong
Hybrid	Hybrid	canonical	mechanical_normalization	3	hybrid
IR30	IR30	canonical	mechanical_normalization	3	ir30
IR50	IR50	canonical	mechanical_normalization	3	ir50
IRGC 127652	IRGC 127652	canonical	mechanical_normalization	3	irgc127652
IRGC 127742	IRGC 127742	canonical	mechanical_normalization	3	irgc127742
IRGC 128077	IRGC 128077	canonical	mechanical_normalization	3	irgc128077
IRGC 132278	IRGC 132278	canonical	mechanical_normalization	3	irgc132278
Minghui86	Minghui86	canonical	mechanical_normalization	3	minghui86
R527	R527	canonical	mechanical_normalization	3	r527
Shuhui527	Shuhui527	canonical	mechanical_normalization	3	shuhui527
Shuhui548	Shuhui548	canonical	mechanical_normalization	3	shuhui548
SuYuNuo	SuYuNuo	canonical	mechanical_normalization	3	suyunuo
Taipei 309 bombardment event 1	Taipei 309 bombardment event 1	canonical	mechanical_normalization	3	taipei309bombardmentevent1
Taipei 309 bombardment event 2	Taipei 309 bombardment event 2	canonical	mechanical_normalization	3	taipei309bombardmentevent2
Taipei 309 bombardment event 3	Taipei 309 bombardment event 3	canonical	mechanical_normalization	3	taipei309bombardmentevent3
Taipei 309 bombardment event 4	Taipei 309 bombardment event 4	canonical	mechanical_normalization	3	taipei309bombardmentevent4
Taipei 309 bombardment event 5	Taipei 309 bombardment event 5	canonical	mechanical_normalization	3	taipei309bombardmentevent5
Taipei 309 bombardment event 6	Taipei 309 bombardment event 6	canonical	mechanical_normalization	3	taipei309bombardmentevent6
Tulaipanji	Tulaipanji	canonical	mechanical_normalization	3	tulaipanji
Xiushui 134	Xiushui 134	canonical	mechanical_normalization	3	xiushui134
YF47	YF47	canonical	mechanical_normalization	3	yf47
Yangdao6hao	Yangdao6hao	canonical	mechanical_normalization	3	yangdao6hao
Yuzhenxiang	Yuzhenxiang	canonical	mechanical_normalization	3	yuzhenxiang
11	11	canonical	mechanical_normalization	2	11
110080	110080	canonical	mechanical_normalization	2	110080
1128	1128	canonical	mechanical_normalization	2	1128
114-7-2	114-7-2	canonical	mechanical_normalization	2	11472
1390	1390	canonical	mechanical_normalization	2	1390
1394	1394	canonical	mechanical_normalization	2	1394
14	14	canonical	mechanical_normalization	2	14
16A	16A	canonical	mechanical_normalization	2	16a
1892S	1892S	canonical	mechanical_normalization	2	1892s
2	2	canonical	mechanical_normalization	2	2
20	20	canonical	mechanical_normalization	2	20
203A	203A	canonical	mechanical_normalization	2	203a
24HZM875	24HZM875	canonical	mechanical_normalization	2	24hzm875
24HZM876	24HZM876	canonical	mechanical_normalization	2	24hzm876
24HZM877	24HZM877	canonical	mechanical_normalization	2	24hzm877
24HZM878	24HZM878	canonical	mechanical_normalization	2	24hzm878
25	25	canonical	mechanical_normalization	2	25
27	27	canonical	mechanical_normalization	2	27
30	30	canonical	mechanical_normalization	2	30
33S	33S	canonical	mechanical_normalization	2	33s
551	551	canonical	mechanical_normalization	2	551
6	6	canonical	mechanical_normalization	2	6
610234	610234	canonical	mechanical_normalization	2	610234
7	7	canonical	mechanical_normalization	2	7
79	79	canonical	mechanical_normalization	2	79
86	86	canonical	mechanical_normalization	2	86
898B	898B	canonical	mechanical_normalization	2	898b
900	900	canonical	mechanical_normalization	2	900
9311-1	9311-1	canonical	mechanical_normalization	2	93111
9311-2	9311-2	canonical	mechanical_normalization	2	93112
9311-3	9311-3	canonical	mechanical_normalization	2	93113
9311K	9311K	canonical	mechanical_normalization	2	9311k
988	988	canonical	mechanical_normalization	2	988
99S	99S	canonical	mechanical_normalization	2	99s
A06	A06	canonical	mechanical_normalization	2	a06
A15	A15	canonical	mechanical_normalization	2	a15
Aijiaonante	Aijiaonante	canonical	mechanical_normalization	2	aijiaonante
Aituogu151	Aituogu151	canonical	mechanical_normalization	2	aituogu151
Aizizhan	Aizizhan	canonical	mechanical_normalization	2	aizizhan
BALA	BALA	canonical	mechanical_normalization	2	bala
BIL_sbn	BIL_sbn	canonical	mechanical_normalization	2	bilsbn
Badshabhog	Badshabhog	canonical	mechanical_normalization	2	badshabhog
Basmati1	Basmati1	canonical	mechanical_normalization	2	basmati1
Bombilla	Bombilla	canonical	mechanical_normalization	2	bombilla
Bph68S	Bph68S	canonical	mechanical_normalization	2	bph68s
C815S	C815S	canonical	mechanical_normalization	2	c815s
CY84	CY84	canonical	mechanical_normalization	2	cy84
Carolina Gold Select	Carolina Gold Select	canonical	mechanical_normalization	2	carolinagoldselect
Ce49	Ce49	canonical	mechanical_normalization	2	ce49
Ce64	Ce64	canonical	mechanical_normalization	2	ce64
Chenga	Chenga	canonical	mechanical_normalization	2	chenga
Chenghui448	Chenghui448	canonical	mechanical_normalization	2	chenghui448
Chenghui727	Chenghui727	canonical	mechanical_normalization	2	chenghui727
Chengnongshuijing	Chengnongshuijing	canonical	mechanical_normalization	2	chengnongshuijing
Cheongcheong	Cheongcheong	canonical	mechanical_normalization	2	cheongcheong
Chuannong1	Chuannong1	canonical	mechanical_normalization	2	chuannong1
Chuannong422	Chuannong422	canonical	mechanical_normalization	2	chuannong422
Daohuaxiang	Daohuaxiang	canonical	mechanical_normalization	2	daohuaxiang
Digu	Digu	canonical	mechanical_normalization	2	digu
Dongjin	Dongjin	canonical	mechanical_normalization	2	dongjin
Dongtingwanxian	Dongtingwanxian	canonical	mechanical_normalization	2	dongtingwanxian
Enhui58	Enhui58	canonical	mechanical_normalization	2	enhui58
Exiang1hao	Exiang1hao	canonical	mechanical_normalization	2	exiang1hao
Ezao6hao	Ezao6hao	canonical	mechanical_normalization	2	ezao6hao
FS32	FS32	canonical	mechanical_normalization	2	fs32
Fuhui673	Fuhui673	canonical	mechanical_normalization	2	fuhui673
Fuhui676	Fuhui676	canonical	mechanical_normalization	2	fuhui676
Gang46	Gang46	canonical	mechanical_normalization	2	gang46
Gemdjah Beton	Gemdjah Beton	canonical	mechanical_normalization	2	gemdjahbeton
Gu154	Gu154	canonical	mechanical_normalization	2	gu154
Guangchangai	Guangchangai	canonical	mechanical_normalization	2	guangchangai
Guangqiuai	Guangqiuai	canonical	mechanical_normalization	2	guangqiuai
Guihuahuang	Guihuahuang	canonical	mechanical_normalization	2	guihuahuang
Guinongzhan	Guinongzhan	canonical	mechanical_normalization	2	guinongzhan
HOSHINOYUME	HOSHINOYUME	canonical	mechanical_normalization	2	hoshinoyume
Hanareum	Hanareum	canonical	mechanical_normalization	2	hanareum
Hanhui3	Hanhui3	canonical	mechanical_normalization	2	hanhui3
Hawara Bunar	Hawara Bunar	canonical	mechanical_normalization	2	hawarabunar
HopumR	HopumR	canonical	mechanical_normalization	2	hopumr
Huang-Jin-Ke	Huang-Jin-Ke	canonical	mechanical_normalization	2	huangjinke
Huanghuazhan:H-212	Huanghuazhan:H-212	canonical	mechanical_normalization	2	huanghuazhanh212
Huanghuazhan:H174	Huanghuazhan:H174	canonical	mechanical_normalization	2	huanghuazhanh174
Huanghuazhan:H190	Huanghuazhan:H190	canonical	mechanical_normalization	2	huanghuazhanh190
Huanghuazhan:HE-47	Huanghuazhan:HE-47	canonical	mechanical_normalization	2	huanghuazhanhe47
Huanghuazhan:HM2-S61	Huanghuazhan:HM2-S61	canonical	mechanical_normalization	2	huanghuazhanhm2s61
Huangpinuo	Huangpinuo	canonical	mechanical_normalization	2	huangpinuo
Hybrid rice 1	Hybrid rice 1	canonical	mechanical_normalization	2	hybridrice1
Hybrid rice 2	Hybrid rice 2	canonical	mechanical_normalization	2	hybridrice2
Hybrid rice 3	Hybrid rice 3	canonical	mechanical_normalization	2	hybridrice3
IR1544	IR1544	canonical	mechanical_normalization	2	ir1544
IR26	IR26	canonical	mechanical_normalization	2	ir26
IR58025B	IR58025B	canonical	mechanical_normalization	2	ir58025b
IR72	IR72	canonical	mechanical_normalization	2	ir72
IRGC 117425	IRGC 117425	canonical	mechanical_normalization	2	irgc117425
IRGC 125619	IRGC 125619	canonical	mechanical_normalization	2	irgc125619
IRGC 132424	IRGC 132424	canonical	mechanical_normalization	2	irgc132424
Indica-like/Hwacheong_F2	Indica-like/Hwacheong_F2	canonical	mechanical_normalization	2	indicalikehwacheongf2
JR2	JR2	canonical	mechanical_normalization	2	jr2
Jianzhen2hao	Jianzhen2hao	canonical	mechanical_normalization	2	jianzhen2hao
Jiegunuo	Jiegunuo	canonical	mechanical_normalization	2	jiegunuo
Jinhangsimiao	Jinhangsimiao	canonical	mechanical_normalization	2	jinhangsimiao
Jinyou1hao	Jinyou1hao	canonical	mechanical_normalization	2	jinyou1hao
Junam	Junam	canonical	mechanical_normalization	2	junam
Jupiter	Jupiter	canonical	mechanical_normalization	2	jupiter
Juppa	Juppa	canonical	mechanical_normalization	2	juppa
Kitaake FN4183-S	Kitaake FN4183-S	canonical	mechanical_normalization	2	kitaakefn4183s
Kitaake FN4187-S	Kitaake FN4187-S	canonical	mechanical_normalization	2	kitaakefn4187s
Kitaake FN4188-S	Kitaake FN4188-S	canonical	mechanical_normalization	2	kitaakefn4188s
Kitaake FN4189-S	Kitaake FN4189-S	canonical	mechanical_normalization	2	kitaakefn4189s
Kitaake FN4190-S	Kitaake FN4190-S	canonical	mechanical_normalization	2	kitaakefn4190s
Kitaake FN4240-S	Kitaake FN4240-S	canonical	mechanical_normalization	2	kitaakefn4240s
Kitaake FN4241-S	Kitaake FN4241-S	canonical	mechanical_normalization	2	kitaakefn4241s
Kitaake FN4247-S	Kitaake FN4247-S	canonical	mechanical_normalization	2	kitaakefn4247s
Kitaake FN4255-S	Kitaake FN4255-S	canonical	mechanical_normalization	2	kitaakefn4255s
Kitaake FN4279-S	Kitaake FN4279-S	canonical	mechanical_normalization	2	kitaakefn4279s
Kitaake FN4314-S	Kitaake FN4314-S	canonical	mechanical_normalization	2	kitaakefn4314s
Kitaake FN4325-S	Kitaake FN4325-S	canonical	mechanical_normalization	2	kitaakefn4325s
Kitaake ubi-XA21 FN 398-1	Kitaake ubi-XA21 FN 398-1	canonical	mechanical_normalization	2	kitaakeubixa21fn3981
Kitaake ubi-XA21 FN 398-3/4/5	Kitaake ubi-XA21 FN 398-3/4/5	canonical	mechanical_normalization	2	kitaakeubixa21fn398345
Kitaake ubi-XA21 FN-222	Kitaake ubi-XA21 FN-222	canonical	mechanical_normalization	2	kitaakeubixa21fn222
Kitaake ubi-XA21 FN-223	Kitaake ubi-XA21 FN-223	canonical	mechanical_normalization	2	kitaakeubixa21fn223
Kitaake ubi-XA21 FN-225	Kitaake ubi-XA21 FN-225	canonical	mechanical_normalization	2	kitaakeubixa21fn225
Kitaake ubi-XA21 FN-226	Kitaake ubi-XA21 FN-226	canonical	mechanical_normalization	2	kitaakeubixa21fn226
Kitaake ubi-XA21 FN-231	Kitaake ubi-XA21 FN-231	canonical	mechanical_normalization	2	kitaakeubixa21fn231
Kitaake ubi-XA21 FN-232	Kitaake ubi-XA21 FN-232	canonical	mechanical_normalization	2	kitaakeubixa21fn232
Kitaake ubi-XA21 FN-233	Kitaake ubi-XA21 FN-233	canonical	mechanical_normalization	2	kitaakeubixa21fn233
Kitaake ubi-XA21 FN-234	Kitaake ubi-XA21 FN-234	canonical	mechanical_normalization	2	kitaakeubixa21fn234
Kitaake ubi-XA21 FN-235	Kitaake ubi-XA21 FN-235	canonical	mechanical_normalization	2	kitaakeubixa21fn235
Kitaake ubi-XA21 FN-236	Kitaake ubi-XA21 FN-236	canonical	mechanical_normalization	2	kitaakeubixa21fn236
Kitaake ubi-XA21 FN-263	Kitaake ubi-XA21 FN-263	canonical	mechanical_normalization	2	kitaakeubixa21fn263
Kitaake ubi-XA21 FN-264	Kitaake ubi-XA21 FN-264	canonical	mechanical_normalization	2	kitaakeubixa21fn264
Kitaake ubi-XA21 FN-265	Kitaake ubi-XA21 FN-265	canonical	mechanical_normalization	2	kitaakeubixa21fn265
Kitaake ubi-XA21 FN-268	Kitaake ubi-XA21 FN-268	canonical	mechanical_normalization	2	kitaakeubixa21fn268
Kitaake ubi-XA21 FN-269	Kitaake ubi-XA21 FN-269	canonical	mechanical_normalization	2	kitaakeubixa21fn269
Kitaake ubi-XA21 FN-272	Kitaake ubi-XA21 FN-272	canonical	mechanical_normalization	2	kitaakeubixa21fn272
Kitaake ubi-XA21 FN-273	Kitaake ubi-XA21 FN-273	canonical	mechanical_normalization	2	kitaakeubixa21fn273
Kitaake ubi-XA21 FN-274	Kitaake ubi-XA21 FN-274	canonical	mechanical_normalization	2	kitaakeubixa21fn274
Kitaake ubi-XA21 FN-275	Kitaake ubi-XA21 FN-275	canonical	mechanical_normalization	2	kitaakeubixa21fn275
Kitaake ubi-XA21 FN-277	Kitaake ubi-XA21 FN-277	canonical	mechanical_normalization	2	kitaakeubixa21fn277
Kitaake ubi-XA21 FN-278	Kitaake ubi-XA21 FN-278	canonical	mechanical_normalization	2	kitaakeubixa21fn278
Kitaake ubi-XA21 FN-279	Kitaake ubi-XA21 FN-279	canonical	mechanical_normalization	2	kitaakeubixa21fn279
Kitaake ubi-XA21 FN-281	Kitaake ubi-XA21 FN-281	canonical	mechanical_normalization	2	kitaakeubixa21fn281
Kitaake ubi-XA21 FN-283	Kitaake ubi-XA21 FN-283	canonical	mechanical_normalization	2	kitaakeubixa21fn283
Kitaake ubi-XA21 FN-284	Kitaake ubi-XA21 FN-284	canonical	mechanical_normalization	2	kitaakeubixa21fn284
Kitaake ubi-XA21 FN-285	Kitaake ubi-XA21 FN-285	canonical	mechanical_normalization	2	kitaakeubixa21fn285
Kitaake ubi-XA21 FN-286	Kitaake ubi-XA21 FN-286	canonical	mechanical_normalization	2	kitaakeubixa21fn286
Kitaake ubi-XA21 FN-287	Kitaake ubi-XA21 FN-287	canonical	mechanical_normalization	2	kitaakeubixa21fn287
Kitaake ubi-XA21 FN-288	Kitaake ubi-XA21 FN-288	canonical	mechanical_normalization	2	kitaakeubixa21fn288
Kitaake ubi-XA21 FN-289	Kitaake ubi-XA21 FN-289	canonical	mechanical_normalization	2	kitaakeubixa21fn289
Kitaake ubi-XA21 FN-290	Kitaake ubi-XA21 FN-290	canonical	mechanical_normalization	2	kitaakeubixa21fn290
Kitaake ubi-XA21 FN-314	Kitaake ubi-XA21 FN-314	canonical	mechanical_normalization	2	kitaakeubixa21fn314
Kitaake ubi-XA21 FN-315	Kitaake ubi-XA21 FN-315	canonical	mechanical_normalization	2	kitaakeubixa21fn315
Kitaake ubi-XA21 FN-316	Kitaake ubi-XA21 FN-316	canonical	mechanical_normalization	2	kitaakeubixa21fn316
Kitaake ubi-XA21 FN-341	Kitaake ubi-XA21 FN-341	canonical	mechanical_normalization	2	kitaakeubixa21fn341
Kitaake ubi-XA21 FN-342	Kitaake ubi-XA21 FN-342	canonical	mechanical_normalization	2	kitaakeubixa21fn342
Kitaake ubi-XA21 FN-344	Kitaake ubi-XA21 FN-344	canonical	mechanical_normalization	2	kitaakeubixa21fn344
Kitaake ubi-XA21 FN-408	Kitaake ubi-XA21 FN-408	canonical	mechanical_normalization	2	kitaakeubixa21fn408
Kitaake ubi-XA21 FN-409	Kitaake ubi-XA21 FN-409	canonical	mechanical_normalization	2	kitaakeubixa21fn409
Kitaake ubi-XA21 FN-410	Kitaake ubi-XA21 FN-410	canonical	mechanical_normalization	2	kitaakeubixa21fn410
Kitaake ubi-XA21 FN1152 -S	Kitaake ubi-XA21 FN1152 -S	canonical	mechanical_normalization	2	kitaakeubixa21fn1152s
Kitaake ubi-XA52 FN1488-S	Kitaake ubi-XA52 FN1488-S	canonical	mechanical_normalization	2	kitaakeubixa52fn1488s
Kitaake ubi-XA55 FN1492-S	Kitaake ubi-XA55 FN1492-S	canonical	mechanical_normalization	2	kitaakeubixa55fn1492s
Kitaake ubi-XA56 FN1493-S	Kitaake ubi-XA56 FN1493-S	canonical	mechanical_normalization	2	kitaakeubixa56fn1493s
Kitaake ubi-XA59 FN1497-S	Kitaake ubi-XA59 FN1497-S	canonical	mechanical_normalization	2	kitaakeubixa59fn1497s
Kitaake ubi-XA62 FN1501-S	Kitaake ubi-XA62 FN1501-S	canonical	mechanical_normalization	2	kitaakeubixa62fn1501s
Kitaake ubi-XA63 FN1504-S	Kitaake ubi-XA63 FN1504-S	canonical	mechanical_normalization	2	kitaakeubixa63fn1504s
Kitaake ubi-XA64 FN1505-S	Kitaake ubi-XA64 FN1505-S	canonical	mechanical_normalization	2	kitaakeubixa64fn1505s
Kitaake ubi-XA68 FN1509-S	Kitaake ubi-XA68 FN1509-S	canonical	mechanical_normalization	2	kitaakeubixa68fn1509s
Kitaake ubi-XA72 FN1515-S	Kitaake ubi-XA72 FN1515-S	canonical	mechanical_normalization	2	kitaakeubixa72fn1515s
Kitaake ubi-XA75 FN1525-S	Kitaake ubi-XA75 FN1525-S	canonical	mechanical_normalization	2	kitaakeubixa75fn1525s
Kitaake ubi-XA79 FN1529-S	Kitaake ubi-XA79 FN1529-S	canonical	mechanical_normalization	2	kitaakeubixa79fn1529s
Kitaake ubi-XA87 FN1537-S	Kitaake ubi-XA87 FN1537-S	canonical	mechanical_normalization	2	kitaakeubixa87fn1537s
Kitaake ubi-XA96 FN1550-S	Kitaake ubi-XA96 FN1550-S	canonical	mechanical_normalization	2	kitaakeubixa96fn1550s
Kittake	Kittake	canonical	mechanical_normalization	2	kittake
Kongyu131	Kongyu131	canonical	mechanical_normalization	2	kongyu131
Lehui188	Lehui188	canonical	mechanical_normalization	2	lehui188
Lijiang Xintuan Hei Gu	Lijiang Xintuan Hei Gu	canonical	mechanical_normalization	2	lijiangxintuanheigu
Longdao5	Longdao5	canonical	mechanical_normalization	2	longdao5
Lucaihao	Lucaihao	canonical	mechanical_normalization	2	lucaihao
Luhui17	Luhui17	canonical	mechanical_normalization	2	luhui17
Luohong3A	Luohong3A	canonical	mechanical_normalization	2	luohong3a
M-ERV1-1	M-ERV1-1	canonical	mechanical_normalization	2	merv11
M-ERV1-3	M-ERV1-3	canonical	mechanical_normalization	2	merv13
Minghui	Minghui	canonical	mechanical_normalization	2	minghui
Minghui70	Minghui70	canonical	mechanical_normalization	2	minghui70
Minhui3301	Minhui3301	canonical	mechanical_normalization	2	minhui3301
Mitak	Mitak	canonical	mechanical_normalization	2	mitak
Momi	Momi	canonical	mechanical_normalization	2	momi
Nampung	Nampung	canonical	mechanical_normalization	2	nampung
Nampyeong	Nampyeong	canonical	mechanical_normalization	2	nampyeong
Nanhui511	Nanhui511	canonical	mechanical_normalization	2	nanhui511
Nantehao	Nantehao	canonical	mechanical_normalization	2	nantehao
Ninghui21	Ninghui21	canonical	mechanical_normalization	2	ninghui21
Njavara Black variety	Njavara Black variety	canonical	mechanical_normalization	2	njavarablackvariety
P-RH78-1	P-RH78-1	canonical	mechanical_normalization	2	prh781
P-RH78-3	P-RH78-3	canonical	mechanical_normalization	2	prh783
PA64s-1	PA64s-1	canonical	mechanical_normalization	2	pa64s1
PA64s-2	PA64s-2	canonical	mechanical_normalization	2	pa64s2
PA64s-3	PA64s-3	canonical	mechanical_normalization	2	pa64s3
PB1	PB1	canonical	mechanical_normalization	2	pb1
Peiai64S	Peiai64S	canonical	mechanical_normalization	2	peiai64s
Qianlijing	Qianlijing	canonical	mechanical_normalization	2	qianlijing
Qingerai	Qingerai	canonical	mechanical_normalization	2	qingerai
Qingke	Qingke	canonical	mechanical_normalization	2	qingke
R225	R225	canonical	mechanical_normalization	2	r225
R288	R288	canonical	mechanical_normalization	2	r288
R4115	R4115	canonical	mechanical_normalization	2	r4115
R465	R465	canonical	mechanical_normalization	2	r465
R600	R600	canonical	mechanical_normalization	2	r600
RGD-7S	RGD-7S	canonical	mechanical_normalization	2	rgd7s
RP Bio-226	RP Bio-226	canonical	mechanical_normalization	2	rpbio226
S23ZM205	S23ZM205	canonical	mechanical_normalization	2	s23zm205
S23ZM206	S23ZM206	canonical	mechanical_normalization	2	s23zm206
Samgwang	Samgwang	canonical	mechanical_normalization	2	samgwang
Shengtai1hao	Shengtai1hao	canonical	mechanical_normalization	2	shengtai1hao
Shuhui202	Shuhui202	canonical	mechanical_normalization	2	shuhui202
Shuhui498	Shuhui498	canonical	mechanical_normalization	2	shuhui498
Shuhui707	Shuhui707	canonical	mechanical_normalization	2	shuhui707
Sindongjin	Sindongjin	canonical	mechanical_normalization	2	sindongjin
Suijing18	Suijing18	canonical	mechanical_normalization	2	suijing18
TI 17	TI 17	canonical	mechanical_normalization	2	ti17
Taichung Native 1	TN1	abbreviation	curated_common_usage	2	tn1
Taichung Sen 10	Taichung Sen 10	canonical	mechanical_normalization	2	taichungsen10
Tainung sen 20	Tainung sen 20	canonical	mechanical_normalization	2	tainungsen20
Taipei 309 bombardment event 8	Taipei 309 bombardment event 8	canonical	mechanical_normalization	2	taipei309bombardmentevent8
Taizhongxianxuan2	Taizhongxianxuan2	canonical	mechanical_normalization	2	taizhongxianxuan2
Takanari	Takanari	canonical	mechanical_normalization	2	takanari
Tongil	Tongil	canonical	mechanical_normalization	2	tongil
Vandana	Vandana	canonical	mechanical_normalization	2	vandana
WA01	WA01	canonical	mechanical_normalization	2	wa01
WA04	WA04	canonical	mechanical_normalization	2	wa04
WA09	WA09	canonical	mechanical_normalization	2	wa09
Wanhui88	Wanhui88	canonical	mechanical_normalization	2	wanhui88
Wen229	Wen229	canonical	mechanical_normalization	2	wen229
Wild	Wild	canonical	mechanical_normalization	2	wild
Wuyunjing8	Wuyunjing8	canonical	mechanical_normalization	2	wuyunjing8
XiangaiB	XiangaiB	canonical	mechanical_normalization	2	xiangaib
Xianghui91269	Xianghui91269	canonical	mechanical_normalization	2	xianghui91269
Xiangnuo	Xiangnuo	canonical	mechanical_normalization	2	xiangnuo
Xiangwanxian3hao	Xiangwanxian3hao	canonical	mechanical_normalization	2	xiangwanxian3hao
Xiangyaxiangzhan	Xiangyaxiangzhan	canonical	mechanical_normalization	2	xiangyaxiangzhan
Xiangzaoxian7hao	Xiangzaoxian7hao	canonical	mechanical_normalization	2	xiangzaoxian7hao
Xiaohuangnuo	Xiaohuangnuo	canonical	mechanical_normalization	2	xiaohuangnuo
XinanS	XinanS	canonical	mechanical_normalization	2	xinans
YASUMURA	YASUMURA	canonical	mechanical_normalization	2	yasumura
Yahui2115	Yahui2115	canonical	mechanical_normalization	2	yahui2115
